,School Name,Address,School type,Board,School Type,School Type.1,Established year,Address1,Details,School_type,P/G,Board,Co-Educational,Established
2941,Sharp Kids,"Flat No. 402, Satya Sai Apartments, Srinivasa Nagar (East) Ameerpet
Hyderabad - 500036, Andhra Pradesh, India
Mobile : 9948509668, 994966742
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Flat No. 402, Satya Sai Apartments, Srinivasa Nagar (East) Ameerpet
Hyderabad - 500036, Andhra Pradesh, India
Mobile : 9948509668, 994966742
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2942,Shastri High School,"Near Bollarum Railway Station
Hyderabad - 500010, Andhra Pradesh, India
Phone: (040) 27863657
Details:
High Secondary School
ICSE/ISC Board
Private School
Co-Educational School",High Secondary School,ICSE/ISC Board,Private School,Co-Educational School,,"Near Bollarum Railway Station
Hyderabad - 500010, Andhra Pradesh, India
Phone: (040) 27863657
","High Secondary School
ICSE/ISC Board
Private School
Co-Educational School",High Secondary School,Private School,ICSE/ISC Board,Co-Educational School,
2943,Shebha Latha High School,"Shanthinagar
Hyderabad - 500017, Andhra Pradesh, India
Phone: (040) 27007136
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Shanthinagar
Hyderabad - 500017, Andhra Pradesh, India
Phone: (040) 27007136
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2944,Shekinah Residential Institute for Disabled (Integrated),"#4-3-2, Shekinah House, Ranga Reddy District, Hayath Nagar
Hyderabad - 501505, Andhra Pradesh, India
Phone: (040) 24201869
Mobile : 9848156468
Details:
Private School (School for Physically Challenged)
Co-Educational School",Private School (School for Physically Challenged),Co-Educational School,,,,"#4-3-2, Shekinah House, Ranga Reddy District, Hayath Nagar
Hyderabad - 501505, Andhra Pradesh, India
Phone: (040) 24201869
Mobile : 9848156468
","Private School (School for Physically Challenged)
Co-Educational School",,Private School (School for Physically Challenged),,Co-Educational School,
2945,Shemrock Brilliance,"6-1-28, Bhagyalakshmi Colony, Behind Durga Temple, Manikonda
Hyderabad - 500089, Andhra Pradesh, India
Phone: (040) 64541467
Mobile : 9848991371
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"6-1-28, Bhagyalakshmi Colony, Behind Durga Temple, Manikonda
Hyderabad - 500089, Andhra Pradesh, India
Phone: (040) 64541467
Mobile : 9848991371
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2946,Shemrock Fun Valley Primary School,"13-6-457/31, Shiva Bagh, Gayatrinagar, Gudimalkapur, Mehdipatnam
Hyderabad - 500028, Andhra Pradesh, India
Mobile : 9000002889, 9959377737, 9989776644
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"13-6-457/31, Shiva Bagh, Gayatrinagar, Gudimalkapur, Mehdipatnam
Hyderabad - 500028, Andhra Pradesh, India
Mobile : 9000002889, 9959377737, 9989776644
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2947,Shemrock Future Kids,"Door No. 55-42-3, Near ASR Statue Main Road, Seetammadhara
Vishakhapatnam - 530013, Andhra Pradesh, India
Mobile : 9866998899
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Door No. 55-42-3, Near ASR Statue Main Road, Seetammadhara
Vishakhapatnam - 530013, Andhra Pradesh, India
Mobile : 9866998899
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2948,Shemrock Kinderstars,"H.No. 1-111/4/C, Ravi Enclave, Near Hanuman Temple, Opposite Gem Maruti Showroom, Kondapur
Hyderabad - 500084, Andhra Pradesh, India
Mobile : 7093096020, 9949023920
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 1-111/4/C, Ravi Enclave, Near Hanuman Temple, Opposite Gem Maruti Showroom, Kondapur
Hyderabad - 500084, Andhra Pradesh, India
Mobile : 7093096020, 9949023920
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2949,Shemrock Lalita,"Plot No. 8 and 9, Gulmohar Park, Serilingampally
Secunderabad - 500019, Andhra Pradesh, India
Phone: (040) 23010645
Mobile : 9985834645
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 8 and 9, Gulmohar Park, Serilingampally
Secunderabad - 500019, Andhra Pradesh, India
Phone: (040) 23010645
Mobile : 9985834645
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2950,Shemrock Model Play School,"16-11-477/6/4/1, Dilsukhnagar
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24044911
Mobile : 9052714334
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"16-11-477/6/4/1, Dilsukhnagar
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 24044911
Mobile : 9052714334
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2951,Shemrock Paramount,"H.No. 10-3-631/1, Mehar Nagar, Arepally Road
Karimnagar - 505001, Andhra Pradesh, India
Mobile : 9948278282
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"H.No. 10-3-631/1, Mehar Nagar, Arepally Road
Karimnagar - 505001, Andhra Pradesh, India
Mobile : 9948278282
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2952,Shemrock Smileys,"D.No. 6-199, Inner Bangaramma Temple, Behind Govt. Hospital Simhachalam, Visa Khapatnam
Vishakhapatnam - 530028, Andhra Pradesh, India
Mobile : 7993462717
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"D.No. 6-199, Inner Bangaramma Temple, Behind Govt. Hospital Simhachalam, Visa Khapatnam
Vishakhapatnam - 530028, Andhra Pradesh, India
Mobile : 7993462717
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2953,Sherman Girls High School,"Puttur Road, Kongareddypalli
Chittoor - 517001, Andhra Pradesh, India
Phone: (08572) 232432
Mobile : 9441784309
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Girls Only School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Girls Only School,,"Puttur Road, Kongareddypalli
Chittoor - 517001, Andhra Pradesh, India
Phone: (08572) 232432
Mobile : 9441784309
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Girls Only School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,,
2954,Sherwood Public School,"Petbasheerabad, Jeedimetla Village
Rangareddi - 500055, Andhra Pradesh, India
Phone: (040) 42402214, 42402237
Details:
Nursery - Class XII
ICSE/ISC Board
Private School
Co-Educational School
Established in 1984",Nursery - Class XII,ICSE/ISC Board,Private School,Co-Educational School,Established in 1984,"Petbasheerabad, Jeedimetla Village
Rangareddi - 500055, Andhra Pradesh, India
Phone: (040) 42402214, 42402237
","Nursery - Class XII
ICSE/ISC Board
Private School
Co-Educational School
Established in 1984",Nursery - Class XII,Private School,ICSE/ISC Board,Co-Educational School,Established in 1984
2955,Sherwood School,"Ushodaya Function Hall Road, Lawsons Bay Colony
Vishakhapatnam - 530017, Andhra Pradesh, India
Phone: (0891) 2578148
Details:
Nursery - Class XII
CBSE Board
Private School
Co-Educational School",Nursery - Class XII,CBSE Board,Private School,Co-Educational School,,"Ushodaya Function Hall Road, Lawsons Bay Colony
Vishakhapatnam - 530017, Andhra Pradesh, India
Phone: (0891) 2578148
","Nursery - Class XII
CBSE Board
Private School
Co-Educational School",Nursery - Class XII,Private School,CBSE Board,Co-Educational School,
2956,Shiksha Play School,"Plot No. 160, Dhanalakshmi Colony
Secunderabad - 500026, Andhra Pradesh, India
Phone: (040) 27731578
Details:
Play School
Private School
Co-Educational School",Play School,Private School,Co-Educational School,,,"Plot No. 160, Dhanalakshmi Colony
Secunderabad - 500026, Andhra Pradesh, India
Phone: (040) 27731578
","Play School
Private School
Co-Educational School",Play School,Private School,,Co-Educational School,
2957,Shining Stars Pre-School,"Nimboliadda, No. 3-2-105, Kachiguda
Hyderabad - Nimbolia, Andhra Pradesh, India
Mobile : 9550833311
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Nimboliadda, No. 3-2-105, Kachiguda
Hyderabad - Nimbolia, Andhra Pradesh, India
Mobile : 9550833311
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2958,Shiny Kids Play School,"H.No. 12-2-823/A/28, Opp. St. Anns College, Near Qutubashahi Mosque
Hyderabad, Andhra Pradesh, India
Phone: (040) 6553399
Mobile : 9247847744
Details:
Play - Kindergarten
Private School
Co-Educational School",Play - Kindergarten,Private School,Co-Educational School,,,"H.No. 12-2-823/A/28, Opp. St. Anns College, Near Qutubashahi Mosque
Hyderabad, Andhra Pradesh, India
Phone: (040) 6553399
Mobile : 9247847744
","Play - Kindergarten
Private School
Co-Educational School",Play - Kindergarten,Private School,,Co-Educational School,
2959,Shiny Scholars Concept School,"Above Andra Bank, H.No. 12-2-828/A/4/1, Amba Talkies to Gudimalkapur Road, Mehdipatnam
Hyderabad - 500028, Andhra Pradesh, India
Phone: (040) 64548484
Mobile : 9247847744
Details:
Play - Class X
CBSE Board
Private School
Co-Educational School",Play - Class X,CBSE Board,Private School,Co-Educational School,,"Above Andra Bank, H.No. 12-2-828/A/4/1, Amba Talkies to Gudimalkapur Road, Mehdipatnam
Hyderabad - 500028, Andhra Pradesh, India
Phone: (040) 64548484
Mobile : 9247847744
","Play - Class X
CBSE Board
Private School
Co-Educational School",Play - Class X,Private School,CBSE Board,Co-Educational School,
2960,Shirdi Sai Baba High School,"10-5-796/5, Sai Nagar, North Lalaguda, Tukaram Gate, Sai Nagar
Secunderabad - 500017, Andhra Pradesh, India
Phone: (040) 27733666
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"10-5-796/5, Sai Nagar, North Lalaguda, Tukaram Gate, Sai Nagar
Secunderabad - 500017, Andhra Pradesh, India
Phone: (040) 27733666
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2961,Shishu Daycare,"C/O Podar Jumbo Kids, G2, Norni Devi Niwas, Opp. Geeta Nursing Home, West Marredpally
Hyderabad - 500026, Andhra Pradesh, India
Mobile : 9533675590
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"C/O Podar Jumbo Kids, G2, Norni Devi Niwas, Opp. Geeta Nursing Home, West Marredpally
Hyderabad - 500026, Andhra Pradesh, India
Mobile : 9533675590
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2962,Shishu Kunj The Play School,"3-4-10/2, Lane Opposite Shalini Hospital, Bhommana Lane, Kachiguda
Hyderabad - 500027, Andhra Pradesh, India
Mobile : 9441255331, 9704067008
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"3-4-10/2, Lane Opposite Shalini Hospital, Bhommana Lane, Kachiguda
Hyderabad - 500027, Andhra Pradesh, India
Mobile : 9441255331, 9704067008
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2963,Shivaji Vidyapeeth High School,"Plot No. 270-L, Road No. 10, Jublee Hills
Hyderabad - 500033, Andhra Pradesh, India
Phone: (040) 23545682
Details:
Nursery - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1982",Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1982,"Plot No. 270-L, Road No. 10, Jublee Hills
Hyderabad - 500033, Andhra Pradesh, India
Phone: (040) 23545682
","Nursery - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1982",Nursery - Class XII,Private School,CBSE Board,Co-Educational School,Established in 1982
2964,Shivani Vidya Niketan,"Kurmannapalem, Duvvada Station Road, Duvvada
Vishakhapatnam - 530046, Andhra Pradesh, India
Phone: (0891) 2749484
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"Kurmannapalem, Duvvada Station Road, Duvvada
Vishakhapatnam - 530046, Andhra Pradesh, India
Phone: (0891) 2749484
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
2965,Shivappa High School,"Lotus Colony, Shiva Sai Enclave, Shilpa Nagar, Nagaram
Hyderabad - 500083, Andhra Pradesh, India
Phone: (040) 64542596
Mobile : 9290261151
Details:
Class V - Class X
CBSE Board
Private School
Co-Educational School
Established in 2007",Class V - Class X,CBSE Board,Private School,Co-Educational School,Established in 2007,"Lotus Colony, Shiva Sai Enclave, Shilpa Nagar, Nagaram
Hyderabad - 500083, Andhra Pradesh, India
Phone: (040) 64542596
Mobile : 9290261151
","Class V - Class X
CBSE Board
Private School
Co-Educational School
Established in 2007",Class V - Class X,Private School,CBSE Board,Co-Educational School,Established in 2007
2966,Shivdurai English Medium School,"No. 21-2-289/2, Lad Bazar, Charminar, Mittikasher, Bhawani Nagar, Jubilee Hills
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24411465
Details:
Nursery School
Private School
Co-Educational School",Nursery School,Private School,Co-Educational School,,,"No. 21-2-289/2, Lad Bazar, Charminar, Mittikasher, Bhawani Nagar, Jubilee Hills
Hyderabad - 500002, Andhra Pradesh, India
Phone: (040) 24411465
","Nursery School
Private School
Co-Educational School",Nursery School,Private School,,Co-Educational School,
2967,Shoaib High School,"Near Railway Station, Yakuthpura
Hyderabad - 500005, Andhra Pradesh, India
Phone: (040) 64549576
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Near Railway Station, Yakuthpura
Hyderabad - 500005, Andhra Pradesh, India
Phone: (040) 64549576
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2968,Shoghi High School,"Near SBI Nunna
Vijayawada - 520001, Andhra Pradesh, India
Phone: (0866) 2852266
Details:
Class V - Class XII
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class XII,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Near SBI Nunna
Vijayawada - 520001, Andhra Pradesh, India
Phone: (0866) 2852266
","Class V - Class XII
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class XII,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2969,Shraddha The School,"Plot No. 411, Bhagath Singh Nagar, Beside Vasanth Nagar, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 23058889
Mobile : 9848127888
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Plot No. 411, Bhagath Singh Nagar, Beside Vasanth Nagar, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 23058889
Mobile : 9848127888
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2970,Shree Hanuman Vyayam Shala Public School,"Koti
Hyderabad - 500095, Andhra Pradesh, India
Phone: (040) 24750660, 24751733
Details:
Class V - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1900",Class V - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1900,"Koti
Hyderabad - 500095, Andhra Pradesh, India
Phone: (040) 24750660, 24751733
","Class V - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1900",Class V - Class XII,Private School,CBSE Board,Co-Educational School,Established in 1900
2971,Shree Krishna Primary School,"No. 3-2-491, Chappal Bazar, Kachiguda
Hyderabad - 500027, Andhra Pradesh, India
Phone: (040) 24656724
Details:
Primary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Primary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"No. 3-2-491, Chappal Bazar, Kachiguda
Hyderabad - 500027, Andhra Pradesh, India
Phone: (040) 24656724
","Primary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Primary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2972,Shree Swaminarayan Gurukul,"Chevella Road
Hyderabad - 500075, Andhra Pradesh, India
Phone: (08413) 235288, 32964239
Fax : (08413) 235289
Details:
Class V - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1948",Class V - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1948,"Chevella Road
Hyderabad - 500075, Andhra Pradesh, India
Phone: (08413) 235288, 32964239
Fax : (08413) 235289
","Class V - Class XII
CBSE Board
Private School
Co-Educational School
Established in 1948",Class V - Class XII,Private School,CBSE Board,Co-Educational School,Established in 1948
2973,Shree Vidya Peeth,"Shreepuram, Nartetpully
Nalgonda - 508254, Andhra Pradesh, India
Phone: (0868) 2272458
Mobile : 9493962132
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"Shreepuram, Nartetpully
Nalgonda - 508254, Andhra Pradesh, India
Phone: (0868) 2272458
Mobile : 9493962132
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
2974,Shri Gujarati Vidya Mandir,"#4-3-259, Bank Street, Gujarati Galli, Nampally
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24756943
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,CBSE Board,Private School,Co-Educational School,,"#4-3-259, Bank Street, Gujarati Galli, Nampally
Hyderabad - 500001, Andhra Pradesh, India
Phone: (040) 24756943
","Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,Private School,CBSE Board,Co-Educational School,
2975,Shri Nidhi Grammer High School,"Shop No. 12-11-790/2, Kauser Masjid Lane, Warasiguda, Padmarao Nagar
Hyderabad - 500061, Andhra Pradesh, India
Mobile : 9700419158
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Shop No. 12-11-790/2, Kauser Masjid Lane, Warasiguda, Padmarao Nagar
Hyderabad - 500061, Andhra Pradesh, India
Mobile : 9700419158
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2976,Shri Vidya Junior College,"9/310, Gowrisankara Puram, Gudivada
Krishna - 52301, Andhra Pradesh, India
Phone: (08674) 244698
Details:
Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Andhra Pradesh Board of Intermediate Education,Private School,Co-Educational School,,"9/310, Gowrisankara Puram, Gudivada
Krishna - 52301, Andhra Pradesh, India
Phone: (08674) 244698
","Senior Secondary School
Andhra Pradesh Board of Intermediate Education
Private School
Co-Educational School",Senior Secondary School,Private School,Andhra Pradesh Board of Intermediate Education,Co-Educational School,
2977,Shriramam Model Convent High School,"8-171/6, Shriramam Nagar, Maitrivan Colony, Near Military Dairy Farm, Old Bowenpally
Secunderabad - 500011, Andhra Pradesh, India
Phone: (040) 27815288
Details:
Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"8-171/6, Shriramam Nagar, Maitrivan Colony, Near Military Dairy Farm, Old Bowenpally
Secunderabad - 500011, Andhra Pradesh, India
Phone: (040) 27815288
","Nursery - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2978,Shriyansh Day Care Play School,"202, Sri Sai Nivas, Plot No. 35, Hanuman Nagar, Kothaguda
Hyderabad - 500084, Andhra Pradesh, India
Mobile : 7799092555, 9949566925
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"202, Sri Sai Nivas, Plot No. 35, Hanuman Nagar, Kothaguda
Hyderabad - 500084, Andhra Pradesh, India
Mobile : 7799092555, 9949566925
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2979,Shubharambh Play School,"Plot No. 28, H.No. 6-1-28, Sri Bhagya Lakshmi Colony, Near Durga Temple, Manikonda
Hyderabad - 500089, Andhra Pradesh, India
Phone: (040) 64541467
Mobile : 9848991371
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 28, H.No. 6-1-28, Sri Bhagya Lakshmi Colony, Near Durga Temple, Manikonda
Hyderabad - 500089, Andhra Pradesh, India
Phone: (040) 64541467
Mobile : 9848991371
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2980,Shubhodaya School,"8-3-430/1/21, Ameerpet
Hyderabad - 500016, Andhra Pradesh, India
Phone: (040) 23732753
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"8-3-430/1/21, Ameerpet
Hyderabad - 500016, Andhra Pradesh, India
Phone: (040) 23732753
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2981,Shubodaya High School,"Konark Theatre Road, Dilsukh Nagar
Hyderabad - 500060, Andhra Pradesh, India
Phone: (040) 24068546
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Konark Theatre Road, Dilsukh Nagar
Hyderabad - 500060, Andhra Pradesh, India
Phone: (040) 24068546
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2982,Shuja Grammar School,"Ghousia Bagh, Karwan Road, Karwan
Hyderabad - 500006, Andhra Pradesh, India
Mobile : 9848310537
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Ghousia Bagh, Karwan Road, Karwan
Hyderabad - 500006, Andhra Pradesh, India
Mobile : 9848310537
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2983,Shums the School,"Pre-Primary Branch:- 31/A, Deepanjali, PS Nagar, Masab Tank
Hyderabad - 500028, Andhra Pradesh, India
Phone: (040) 23347786
Mobile : 9100760218
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Pre-Primary Branch:- 31/A, Deepanjali, PS Nagar, Masab Tank
Hyderabad - 500028, Andhra Pradesh, India
Phone: (040) 23347786
Mobile : 9100760218
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2984,Siddartha High Schools,"M.M. Thota
Karimnagar - 505001, Andhra Pradesh, India
Mobile : 9290569083, 9290669083
Details:
High Secondary School
Private School
Co-Educational School
Established in 2004",High Secondary School,Private School,Co-Educational School,Established in 2004,,"M.M. Thota
Karimnagar - 505001, Andhra Pradesh, India
Mobile : 9290569083, 9290669083
","High Secondary School
Private School
Co-Educational School
Established in 2004",High Secondary School,Private School,,Co-Educational School,Established in 2004
2985,Siddhardha Convent High School,"Yadavnagar, Malkajgiri
Hyderabad - 500047, Andhra Pradesh, India
Mobile : 9849190754
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Yadavnagar, Malkajgiri
Hyderabad - 500047, Andhra Pradesh, India
Mobile : 9849190754
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2986,Siddharth Holistic School,"16-11-511/B/13, Shalini Vahana Nagar, Dilsukhnagar
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 65587744
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"16-11-511/B/13, Shalini Vahana Nagar, Dilsukhnagar
Hyderabad - 500036, Andhra Pradesh, India
Phone: (040) 65587744
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
2987,Siddhartha Concept School,"Near Reliance Tower, Omkar Book Depot, Dubbak
Medak - 500026, Andhra Pradesh, India
Phone: (08457) 342908, 341189
Mobile : 9885330129
Details:
Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,CBSE Board,Private School,Co-Educational School,,"Near Reliance Tower, Omkar Book Depot, Dubbak
Medak - 500026, Andhra Pradesh, India
Phone: (08457) 342908, 341189
Mobile : 9885330129
","Class V - Class X
CBSE Board
Private School
Co-Educational School",Class V - Class X,Private School,CBSE Board,Co-Educational School,
2988,Siddhartha English Medium High School,"GS Raju Road, Satyanarayanapuram
Vijayawada - 520011, Andhra Pradesh, India
Phone: (0866) 2537698
Mobile : 9848057698
Details:
Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"GS Raju Road, Satyanarayanapuram
Vijayawada - 520011, Andhra Pradesh, India
Phone: (0866) 2537698
Mobile : 9848057698
","Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2989,Siddhartha English Medium School,"Vasavi Bilding, First Floor, Madana Palli Road, Palamner Road
Chittoor - 517408, Andhra Pradesh, India
Phone: (08572) 254588
Details:
Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Vasavi Bilding, First Floor, Madana Palli Road, Palamner Road
Chittoor - 517408, Andhra Pradesh, India
Phone: (08572) 254588
","Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
2990,Siddhartha Global Knowledge School,"Opp. Badeti Park, Powerpet
Eluru - 534007, Andhra Pradesh, India
Phone: (08812) 224481, 224482
Details:
Nursery - Class XII
CBSE Board
Private School
Co-Educational School",Nursery - Class XII,CBSE Board,Private School,Co-Educational School,,"Opp. Badeti Park, Powerpet
Eluru - 534007, Andhra Pradesh, India
Phone: (08812) 224481, 224482
","Nursery - Class XII
CBSE Board
Private School
Co-Educational School",Nursery - Class XII,Private School,CBSE Board,Co-Educational School,
